WORD	CONC
irritation	305
is	223
island	596
islander	526
isle	530
issue	338
it	271
itch	488
item	436
its	209
ivory	571
ivy	567
jack	552
jacket	635
jade	570
jagged	444
jail	590
jam	563
jamb	326
jangle	373
janitor	532
jar	595
jargon	352
jaw	617
jealousy	250
jeep	622
jeer	338
jelly	560
jeopardy	266
jerid	252
jerk	441
jersey	621
jet	580
jewel	594
jibe	337
jingle	437
jitterbug	472
job	432
jobber	449
jockey	557
jog	464
join	292
joke	388
jolt	424
journal	563
joviality	275
joy	300
jubilant	345
judge	506
judgement	260
juggler	547
juice	599
jump	449
junction	477
junior	384
jupon	238
jury	540
just	257
justice	307
justification	219
justify	289
kabob	536
kale	558
keel	515
keen	336
keep	339
keeper	459
keg	586
kennel	611
kept	264
kerchief	583
kernel	559
kerosene	597
kettle	602
kevel	297
key	612
kick	485
kid	536
kill	386
kilt	609
kind	323
kindle	386
kindness	261
kine	432
king	559
kingdom	392
kink	421
kiss	564
kite	592
kitten	612
knee	593
knew	291
knife	612
knight	579
knitting	583
knob	586
knoll	486
know	274
knowledge	278
known	226
knuckle	586
labour	406
labyrinth	515
lace	545
lack	311
lad	548
lady	564
lagan	246
laid	350
lain	331
lair	475
lake	585
lamb	633
lament	320
lamp	615
lancer	504
land	604
landscape	542
lane	537
lantern	630
lap	540
larch	623
lard	517
lark	578
larkspur	482
last	299
latch	578
late	262
lathe	481
latter	280
laud	294
laugh	433
laughter	411
laundry	576
law	349
lawn	588
lawyer	569
lax	315
lazy	354
lead	543
leader	487
leaf	593
leaflet	570
leak	472
leal	266
lean	395
leap	389
learn	370
learning	303
lease	371
least	275
leather	575
lecture	451
lecturer	561
led	370
leek	621
lees	306
left	341
leg	626
legality	302
legendary	272
leghorn	472
legislation	397
legitimate	265
lemon	608
lemonade	615
length	365
lenient	285
lens	573
leopard	595
less	266
lessen	287
lesson	404
letter	577
lettuce	579
level	422
lever	572
levity	297
liar	409
liberty	302
library	564
lice	543
lichen	547
lie	357
lien	332
lieutenant	560
life	361
lift	461
light	550
lighter	400
lightning	525
like	286
liken	322
lily	609
limb	590
lime	590
limelight	379
limn	275
limousine	624
limp	481
line	477
linen	581
link	488
links	454
lint	537
lion	627
lip	590
liquid	555
liquor	630
lire	449
lisp	429
listen	408
liter	482
literal	295
literature	462
little	378
littoral	273
live	436
liver	617
lizard	588
load	439
loafer	417
loan	372
lobby	532
lobster	590
lock	565
locker	586
lode	342
lodge	538
logic	250
logos	299
lone	325
long	381
look	376
loon	481
loop	490
loot	542
loquacity	326
lord	409
lorry	420
lose	299
loss	313
lotion	534
loud	413
love	311
lovely	318
low	322
lowland	497
loyalty	261
lubricant	520
luck	275
lumber	560
lump	542
lunch	552
lune	328
lung	569
lunge	376
lure	422
lust	324
lute	509
luxury	346
lye	515
lymph	501
lynx	568
lyre	538
macaroni	631
machine	578
machinery	545
mackerel	636
mad	308
made	327
madman	470
madness	289
magazine	588
magic	257
magician	560
magnate	413
magnesium	547
magnet	550
magnitude	333
mahogany	513
maiden	545
mail	508
main	324
maize	453
majority	338
make	299
maker	426
malady	379
malaria	506
male	564
malice	248
mall	459
mallet	623
mammal	549
man	618
management	381
mane	554
manganese	540
manicure	449
mankind	406
manner	297
manor	523
mansion	579
mantle	579
manufacturer	467
manure	644
manus	315
many	276
map	565
maple	534
mar	302
marble	611
march	440
mare	549
margin	472
mark	464
market	551
marl	394
maroon	486
marriage	398
marry	362
martial	338
marvel	293
mash	418
mass	397
mast	576
master	498
mastery	279
mat	513
match	535
mate	507
material	539
maternity	341
math	386
mathematical	328
mathematics	413
matter	439
mattress	640
maturity	234
may	332
mayor	507
maze	528
me	511
meadow	594
meal	602
mean	313
meant	226
measles	568
measure	366
meat	587
mechanic	580
mechanical	385
medal	571
medallion	577
medicine	517
mediocrity	217
meek	299
meet	341
meeting	403
melancholy	329
melee	414
melt	413
member	455
memory	284
men	586
menace	377
menad	263
menu	555
merchant	517
mercury	537
mercy	239
merit	308
mermaid	494
merry	370
message	459
messenger	527
metal	582
method	303
methylene	558
metis	248
metropolis	504
mica	474
microbe	482
microscope	591
midnight	396
midshipman	532
mien	283
might	271
mild	330
mile	460
mileage	421
military	417
milk	670
million	364
millstone	578
mimic	329
mince	430
mind	333
mine	452
miner	551
mineral	527
minister	563
mink	589
minnow	621
minor	353
minstrel	530
minute	361
miracle	282
mirage	377
mirror	605
mischance	270
mischief	325
mischievous	292
misconception	251
misery	297
