WORD	IMAG
courteous	387
courtship	520
cousin	478
cover	443
cow	632
cowardice	344
cowardly	378
cowhide	528
cowl	337
crab	589
cradle	592
craft	429
crag	479
cranberry	649
crane	562
cranium	460
crank	524
craven	262
crawl	488
cream	557
creative	404
creator	409
creature	492
creeper	526
crew	486
crime	471
crisis	375
criterion	250
critical	305
criticism	333
croak	445
crock	351
crocodile	601
crook	526
crooked	487
croquet	539
cross	501
crow	578
crowd	548
crown	602
crucifix	576
cruel	422
cruiser	553
crumb	497
crush	480
cry	478
crypt	553
crystal	579
cube	575
cucumber	623
cue	448
cuisine	541
cult	386
culture	339
cunning	380
cup	558
curb	556
cure	397
curfew	471
curiosity	394
curler	521
current	497
curse	415
curve	520
custard	515
custom	364
customary	290
customer	488
cut	460
cuttle	213
cylix	204
cymbal	494
cynic	377
cynical	380
cyst	510
dad	626
daffodil	611
dagger	581
dairy	537
dais	276
daisy	573
dalliance	297
damage	443
daman	190
dame	530
damsel	551
dance	510
dancer	551
dancing	538
dandelion	579
dandruff	554
danger	505
dare	373
dark	586
darkness	622
dart	597
date	501
dawn	586
day	526
daybreak	608
daylight	575
dead	520
deal	383
dear	374
death	498
debacle	284
debate	397
debonair	417
debt	384
debut	316
decay	450
deceit	338
decision	340
deck	539
decomposition	448
decorate	508
decorated	439
decoration	526
decoy	453
decree	341
deduction	316
deed	390
deep	498
deer	624
deface	425
defeat	402
defence	413
defiance	383
defiant	407
deficient	358
definition	224
degraded	325
degree	521
deity	299
delegation	356
deliberate	341
delicate	378
delight	459
delirium	481
deliver	388
dell	397
delta	499
deluge	464
demeanour	235
democracy	364
demolish	497
demon	474
demonstration	486
denial	364
dense	461
dent	486
dentist	622
department	426
dependable	352
depict	316
deposit	413
depressed	436
depression	453
deputy	435
deray	261
derby	495
derelict	466
derivation	267
describe	315
description	326
design	407
desire	368
desk	574
desolate	435
despair	388
desperation	389
despise	450
despot	297
destroy	444
destroyer	508
destruction	505
destructive	426
detective	524
determination	386
determine	295
detestation	318
detonation	443
develop	295
development	356
device	391
devil	546
devotion	411
dew	559
dexterity	316
diadem	281
dial	541
diamond	623
dictation	432
did	329
die	499
diet	486
difference	293
different	329
diffusion	376
dignified	385
dignity	413
diligent	402
dim	450
dime	590
dimension	355
dimple	518
diner	497
dinner	570
dip	456
direction	399
dirge	262
dirt	547
dirty	485
disagreement	362
disappoint	351
disappointed	384
disaster	505
disavow	262
disc	575
discharge	426
discipline	386
disclosure	277
discolor	428
discolouration	370
disconnection	372
discord	343
discovery	401
discretion	285
discriminating	337
discussion	381
disease	487
disgrace	386
dishonesty	362
disinfectant	529
dislocation	418
dismal	380
dismissal	362
disobedient	393
disparagement	194
disparity	318
display	453
disposition	336
dispute	421
disquiet	305
disruptive	367
dissection	562
distance	432
distinct	364
distinction	314
distortion	428
distraction	359
distress	443
disturber	427
ditch	558
dive	586
diversity	302
dividend	313
diving	598
division	404
do	247
docile	384
dock	559
doctor	600
doe	532
does	210
dog	636
dogma	327
dogmatic	300
doll	565
dollar	611
dolt	259
dome	557
domicile	435
domination	421
done	346
donor	406
door	599
doorway	548
dormitory	575
dot	556
dotage	273
dough	558
doughnut	599
dove	616
dowager	316
down	459
downcast	376
dowry	422
